<doc id="bv_doc_id__79" document_title="Renner-Mayr Entwurf 1920 - Fassung Mayr" created_not_before="1920-05-01" created_not_after="1920-07-08" creation_year="1920" state_of_correction="text_correct" document_type="Druck" text_type="Verfassungsentwurf" dataset="Gesetzestexte & Entwürfe" attrs="word lemma type">
<p>
Als	als													
Manuskript	Manuskript	Nom				Neut		Sing						
gedruckt	drucken													Part
<g/>
.
Vertraulich	vertraulich			Pos										
<g/>
.
</p>
<p>
Das	der	Nom	Def			Neut		Sing			Art			
Ergebnis	Ergebnis	Nom				Neut		Sing						
der	der	Gen	Def			Fem		Plur			Art			
Vereinbarungen	Vereinbarung	Gen				Fem		Plur						
über	über													
die	der	Acc	Def			Fem		Sing			Art			
österreichische	österreichisch	Acc		Pos		Fem		Sing						
Bundesverfassung	Bundesverfassung	Acc				Fem		Sing						
<g/>
.
</p>
<p>
Vorbemerkungen	Vorbemerkung	Nom				Fem		Plur						
<g/>
.
Die	der	Nom	Def			Fem		Sing			Art			
provisorische	provisorisch	Nom		Pos		Fem		Sing						
Verfassung	Verfassung	Nom				Fem		Sing						
der	der	Gen	Def			Fem		Sing			Art			
Republik	Republik	Gen				Fem		Sing						
hat	haben						Ind	Sing	3				Pres	Fin
der	der	Dat	Def			Fem		Sing			Art			
konstituierenden	konstituierend	Dat		Pos		Fem		Sing						
Nationalversammlung	Nationalversammlung	Dat				Fem		Sing						
eine	ein	Acc	Ind			Fem		Sing			Art			
Lebensdauer	Lebensdauer	Acc				Fem		Sing						
von	von													
zwei	zwei													
Jahren	Jahr	Dat				Neut		Plur						
gesetzt	setzen													Part
<g/>
.
Diese	dieser	Nom				Fem		Sing			Dem			
hätte	haben						Sub	Sing	3				Past	Fin
sicherlich	sicherlich													
ausgereicht	ausreichen													Part
<g/>
,
wenn	wenn													
nicht	nicht													
die	der	Nom	Def			Fem		Plur			Art			
Friedensverhandlungen	Friedensverhandlung	Nom				Fem		Plur						
von	von													
Saint	Saint													
Germain	Germain	Dat						Sing						
unerwartet	unerwartet			Pos										
eine	ein	Acc	Ind			Fem		Sing			Art			
so	so													
ungebührlich	ungebührlich			Pos										
lange	lang	Acc		Pos		Fem		Sing						
Zeit	Zeit	Acc				Fem		Sing						
<g/>
(
von	von													
Ende	Ende					Neut		Sing						
Mai	Mai	Nom				Masc		Sing						
bis	bis													
Mitte	Mitte	Acc				Fem		Sing						
September	September	Nom				Masc		Sing						
1919	1919													
<g/>
)
beansprucht	beanspruchen													Part
und	und													
das	der	Acc	Def			Neut		Sing			Art			
Inkrafttreten	Inkrafttreten	Acc				Neut		Sing						
des	der	Gen	Def			Masc		Sing			Art			
Friedensvertrages	Friedensvertrag	Gen				Masc		Sing						
bis	bis													
zur	zu	Dat				Fem		Sing						
Stunde	Stunde	Dat				Fem		Sing						
verzögert	verzögern													Part
hätten	haben						Sub	Plur	3				Past	Fin
<g/>
.
Österreich	Österreich	Nom				Neut		Sing						
ist	sein						Ind	Sing	3				Pres	Fin
heute	heute													
noch	noch													
ein	ein	Nom	Ind			Neut		Sing			Art			
Staatswesen	Staatswesen	Nom				Neut		Sing						
mit	mit													
unfertigem	unfertig	Dat		Pos		Neut		Sing						
Gebiet	Gebiet	Dat				Neut		Sing						
und	und													
ungewisser	ungewiss	Dat		Pos		Fem		Sing						
Staatsbürgerschaft	Staatsbürgerschaft	Dat				Fem		Sing						
<g/>
.
Die	der	Acc	Def			Fem		Sing			Art			
