<doc id="bv_doc_id__3" document_title="Kelsen Entwurf III" created_not_before="1919-05-01" created_not_after="1919-11-30" creation_year="1919" state_of_correction="text_correct" document_type="Typoskript" text_type="Verfassungsentwurf" dataset="Gesetzestexte & Entwürfe" attrs="word lemma type">
Erster	ADJ	erster	Nom		Pos		Masc		Sing						
Abschnitt	NOUN	Abschnitt	Nom				Masc		Sing						
<g/>
.	
Allgemeine	ADJ	allgemein	Acc		Pos		Fem		Plur						
Bestimmungen	NOUN	Bestimmung	Acc				Fem		Plur						
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
1.	ADV	1.													
Die	DET	der	Nom	Def			Fem		Sing			Art			
Republik	NOUN	Republik	Nom				Fem		Sing						
Oesterreich	PROPN	Oesterreich	Nom				Neut		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
ein	DET	ein	Nom	Ind			Masc		Sing			Art			
freier	ADJ	frei	Nom		Pos		Masc		Sing						
Bund	NOUN	Bund	Nom				Masc		Sing						
der	DET	der	Gen	Def			Neut		Plur			Art			
selbständigen	ADJ	selbständig	Gen		Pos		Neut		Plur						
souveränen	ADJ	souverän	Gen		Pos		Neut		Plur						
Länder	NOUN	Land	Gen				Neut		Plur						
<g/>
:	
Niederösterreich	PROPN	Niederösterreich	Nom				Neut		Sing						
<g/>
,	
Oberösterreich	PROPN	Oberösterreich	Nom				Neut		Sing						
<g/>
,	
Steiermark	PROPN	Steiermark	Nom				Neut		Sing						
etz	NOUN	etz													
.	NOUN	.													
und	CCONJ	und													
der	DET	der	Gen	Def			Fem		Sing			Art			
Bundeshauptstadt	NOUN	Bundeshauptstadt	Gen				Fem		Sing						
Wien	PROPN	Wien	Nom				Neut		Sing						
<g/>
,	
die	PRON	der	Nom				Fem		Sing			Rel			
die	DET	der	Acc	Def			Fem		Sing			Art			
Stellung	NOUN	Stellung	Acc				Fem		Sing						
eines	DET	ein	Gen	Ind			Neut		Sing			Art			
selbständigen	ADJ	selbständig	Gen		Pos		Neut		Sing						
Landes	NOUN	Land	Gen				Neut		Sing						
hat	VERB	haben						Ind	Sing	3				Pres	Fin
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
2.	NUM	2.													
Oesterreich	PROPN	Oesterreich	Nom				Neut		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
eine	DET	ein	Nom	Ind			Fem		Sing			Art			
demokratische	ADJ	demokratisch	Nom		Pos		Fem		Sing						
Republik	NOUN	Republik	Nom				Fem		Sing						
<g/>
.	
Alle	DET	aller	Nom				Fem		Plur			Ind			
öffentlichen	ADJ	öffentlich	Nom		Pos		Fem		Plur						
Gewalten	NOUN	Gewalt	Nom				Fem		Plur						
werden	AUX	werden						Ind	Plur	3				Pres	Fin
vom	ADP	von	Dat				Neut		Sing						
Volke	NOUN	Volk	Dat				Neut		Sing						
eingesetzt	VERB	einsetzen													Part
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
3.	NUM	3.													
Das	DET	der	Nom	Def			Neut		Sing			Art			
Bundesgebiet	NOUN	Bundesgebiet	Nom				Neut		Sing						
umfasst	VERB	umfassen						Ind	Sing	3				Pres	Fin
die	DET	der	Acc	Def			Neut		Plur			Art			
Gebiete	NOUN	Gebiet	Acc				Neut		Plur						
der	DET	der	Gen	Def			Neut		Plur			Art			
Länder	NOUN	Land	Gen				Neut		Plur						
im	ADP	in	Dat				Masc		Sing						
folgenden	ADJ	folgend	Dat		Pos		Masc		Sing						
Umfange	NOUN	Umfang	Dat				Masc		Sing						
<g/>
:	
Niederösterreich	PROPN	Niederösterreich	Nom				Neut		Sing						
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Oberösterreich	PROPN	Oberösterreich	Nom				Neut		Sing						
<g/>
:	
<g/>
.	
<g/>
.	
<g/>
.	
etz	NOUN	etz	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
Wien	PROPN	Wien	Nom				Neut		Sing						
<g/>
:	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
4.	NUM	4.													
Das	DET	der	Nom	Def			Neut		Sing			Art			
